is_positive,mentions_money,mentions_update,review_length,thumbsUpCount,is_weekend
0,1,1,89,303,0
0,0,1,90,775,0
0,1,1,76,1947,0
0,0,1,89,126,0
1,0,0,78,456,0
0,1,1,102,130,0
0,0,0,97,49,0
1,0,1,82,276,0
0,1,1,76,185,0
1,0,1,83,75,0
0,1,1,79,297,0
1,0,0,79,11870,0
0,1,1,81,146,0
0,0,0,61,348,0
1,0,1,79,1079,0
0,0,1,98,82,0
1,1,1,76,281,0
0,1,1,71,99,0
1,1,1,68,319,0
1,1,0,89,403,0
1,1,1,89,1475,0
1,0,1,78,825,0
1,1,0,92,257,0
0,0,0,76,409,0
0,0,1,97,234,0
0,0,1,101,80,0
0,0,0,87,192,0
0,1,1,88,245,0
1,0,0,67,198,0
1,1,1,89,291,0
1,1,0,92,303,0
1,0,0,95,22,0
0,1,1,92,161,0
0,1,1,92,72,0
0,1,1,96,350,0
0,1,1,67,530,0
1,0,1,96,87,0
0,1,1,93,90,0
0,1,0,84,123,0
0,1,0,87,280,0
0,0,0,93,930,0
0,0,1,87,189,0
0,1,1,80,237,0
0,0,1,94,208,0
0,0,1,88,202,0
0,0,0,84,130,0
0,0,1,96,533,0
0,1,1,79,97,0
0,1,0,87,277,0
0,1,0,92,384,0
0,1,0,80,249,0
0,0,1,85,84,0
0,0,1,95,39,0
0,1,1,87,105,0
0,0,1,72,384,0
0,1,1,86,138,0
0,1,1,98,237,0
0,1,1,77,292,0
0,0,0,103,92,0
0,1,1,92,116,0
0,1,0,56,79,0
0,1,1,85,114,0
1,1,1,79,93,0
0,0,1,51,212,0
0,1,1,53,91,0
0,1,1,75,38,0
0,1,0,79,59,0
0,0,1,89,97,0
0,1,0,58,28,0
0,1,0,90,1,0
0,0,0,54,5,0
1,0,1,82,5,0
0,1,0,61,1,0
1,0,1,86,3,0
1,1,1,73,297,0
1,0,0,100,98,0
1,1,1,88,135,0
0,1,0,82,273,0
1,0,1,91,1485,0
0,1,1,75,145,0
0,0,0,89,11,0
1,1,0,87,157,0
0,1,1,72,124,0
1,0,1,90,292,0
1,0,0,67,307,0
0,0,1,87,64,0
0,1,1,77,39,0
1,1,0,91,186,0
0,0,1,85,23,0
1,1,0,91,17,0
0,1,1,83,66,0
1,1,1,91,88,0
1,1,0,75,2,0
